Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
Audi A6,Ahmedabad,2008.0,41000.0,Petrol,Automatic,Second,White,5.0,4.0,10.5,10.4,kmpl,2773.0,CC,201.0,bhp,Audi,A6
Hyundai i20,Delhi,2017.0,17431.0,Petrol,Manual,First,Black/Silver,5.0,4.0,6.0,18.6,kmpl,1197.0,CC,81.83,bhp,Hyundai,i20
Skoda Laura,Mumbai,2009.0,48000.0,Diesel,Automatic,Second,White,5.0,4.0,2.95,17.0,kmpl,1896.0,CC,105.0,bhp,Skoda,Laura
Honda City,Mumbai,2015.0,10400.0,Petrol,Manual,First,Black/Silver,5.0,4.0,6.51,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
Maruti Baleno,Delhi,2017.0,33000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.96,27.39,kmpl,1248.0,CC,74.0,bhp,Maruti,Baleno
Audi Q7,Pune,2009.0,94000.0,Diesel,Automatic,Second,White,7.0,5.0,12.0,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
Renault Duster,Bangalore,2014.0,70000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,8.25,19.01,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
Maruti Ertiga,Chennai,2012.0,40000.0,Diesel,Manual,First,Others,7.0,5.0,7.0,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
Land Rover Freelander,Hyderabad,2012.0,139000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,16.75,0.0,kmpl,2179.0,CC,115.0,bhp,Land rover, Freelander
Skoda Rapid,Mumbai,2014.0,35000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.5,15.0,kmpl,1598.0,CC,103.52,bhp,Skoda,Rapid
Maruti Zen,Pune,2007.0,42000.0,Petrol,Manual,Third,Others,5.0,4.0,1.3,18.2,kmpl,998.0,CC,67.1,bhp,Maruti,Zen
BMW 3,Mumbai,2014.0,48000.0,Diesel,Automatic,First,Others,5.0,4.0,26.5,21.76,kmpl,1995.0,CC,190.0,bhp,BMW,3
Hyundai i20,Bangalore,2015.0,59000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.75,18.5,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
Maruti Wagon,Chennai,2013.0,79000.0,Petrol,Manual,First,White,5.0,4.0,3.0,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Honda Jazz,Kolkata,2010.0,45000.0,Petrol,Manual,First,White,5.0,4.0,2.0,16.0,kmpl,1198.0,CC,90.0,bhp,Honda,Jazz
Maruti Wagon,Ahmedabad,2008.0,60123.0,Petrol,Manual,Second,Others,5.0,4.0,1.95,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Maruti Vitara,Coimbatore,2018.0,64456.0,Diesel,Manual,First,White,5.0,4.0,10.46,24.3,kmpl,1248.0,CC,88.5,bhp,Maruti,Vitara
ISUZU D-MAX,Jaipur,2017.0,25000.0,Diesel,Manual,First,Others,5.0,4.0,8.0,12.4,kmpl,2499.0,CC,134.0,bhp,ISUZU,D-MAX
Maruti SX4,Delhi,2011.0,75000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,2.5,21.5,kmpl,1248.0,CC,88.8,bhp,Maruti,SX4
Hyundai i10,Coimbatore,2014.0,31446.0,Petrol,Manual,First,Others,5.0,4.0,4.66,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Honda Amaze,Hyderabad,2014.0,97236.0,Diesel,Manual,First,White,5.0,4.0,4.4,25.8,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
Maruti Wagon,Kochi,2011.0,15466.0,Petrol,Manual,First,White,5.0,4.0,3.36,22.5,kmpl,998.0,CC,67.04,bhp,Maruti,Wagon
Hyundai Xcent,Pune,2016.0,51000.0,Diesel,Manual,First,White,5.0,4.0,5.25,24.4,kmpl,1120.0,CC,71.0,bhp,Hyundai,Xcent
Jaguar F,Hyderabad,2015.0,8000.0,Petrol,Automatic,First,Others,2.0,2.0,100.0,12.5,kmpl,5000.0,CC,488.1,bhp,Jaguar,F
BMW 3,Chennai,2009.0,137000.0,Diesel,Automatic,Second,Others,5.0,4.0,9.0,13.2,kmpl,1995.0,CC,170.0,bhp,BMW,3
Mercedes-Benz C-Class,Mumbai,2018.0,8682.0,Diesel,Automatic,First,White,5.0,4.0,39.5,0.0,kmpl,1950.0,CC,194.0,bhp,Mercedes-Benz,C-Class
Volkswagen Polo,Kolkata,2012.0,55339.0,Diesel,Manual,First,White,5.0,4.0,2.65,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
Renault Duster,Delhi,2016.0,26000.0,Diesel,Manual,First,White,5.0,4.0,10.0,19.64,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
BMW 5,Mumbai,2013.0,78000.0,Diesel,Automatic,First,Others,5.0,4.0,19.5,18.48,kmpl,1995.0,CC,177.0,bhp,BMW,5
Mahindra Thar,Coimbatore,2019.0,16392.0,Diesel,Manual,First,White,6.0,5.0,10.36,16.55,kmpl,2498.0,CC,105.0,bhp,Mahindra,Thar
BMW 3,Chennai,2010.0,83000.0,Diesel,Automatic,First,Others,5.0,4.0,12.75,16.07,kmpl,1995.0,CC,181.0,bhp,BMW,3
Maruti Alto,Hyderabad,2013.0,54000.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,20.92,kmpl,998.0,CC,98.59,bhp,Maruti,Alto
Hyundai i20,Kolkata,2016.0,19008.0,Petrol,Manual,First,Others,5.0,4.0,5.25,17.0,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
Hyundai i10,Kolkata,2015.0,18000.0,Petrol,Manual,First,White,5.0,4.0,2.85,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Honda Amaze,Delhi,2015.0,48000.0,Diesel,Manual,First,Others,5.0,4.0,4.5,25.8,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
Audi A3,Mumbai,2016.0,39000.0,Diesel,Automatic,First,Others,5.0,4.0,18.9,20.38,kmpl,1968.0,CC,143.0,bhp,Audi,A3
Tata Xenon,Pune,2014.0,85000.0,Diesel,Manual,First,White,5.0,4.0,3.5,13.49,kmpl,2179.0,CC,138.03,bhp,Tata,Xenon
Toyota Innova,Coimbatore,2019.0,31271.0,Diesel,Manual,First,White,8.0,5.0,21.42,13.68,kmpl,2393.0,CC,147.8,bhp,Toyota,Innova
BMW X1,Pune,2011.0,102000.0,Diesel,Automatic,First,Others,5.0,4.0,13.75,15.06,kmpl,1995.0,CC,177.0,bhp,BMW,X1
Hyundai Getz,Hyderabad,2006.0,63181.0,Petrol,Manual,First,Black/Silver,5.0,4.0,1.85,15.3,kmpl,1341.0,CC,83.0,bhp,Hyundai,Getz
Audi Q7,Bangalore,2014.0,45000.0,Diesel,Automatic,Second,White,7.0,5.0,37.9,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
Volkswagen Vento,Jaipur,2013.0,144000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,7.0,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
BMW 3,Mumbai,2010.0,67000.0,Diesel,Automatic,Second,White,5.0,4.0,9.25,22.69,kmpl,1995.0,CC,190.0,bhp,BMW,3
Volkswagen Vento,Jaipur,2013.0,125000.0,Diesel,Manual,Second,Others,5.0,4.0,6.25,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
Chevrolet Sail,Kolkata,2014.0,9500.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.5,18.2,kmpl,1199.0,CC,82.5,bhp,Chevrolet,Sail
Renault Duster,Bangalore,2014.0,52000.0,Petrol,Manual,First,White,5.0,4.0,5.99,13.24,kmpl,1598.0,CC,102.57,bhp,Renault,Duster
Maruti Ertiga,Kolkata,2013.0,53073.0,Diesel,Manual,First,Black/Silver,7.0,5.0,5.95,20.77,kmpl,1248.0,CC,88.76,bhp,Maruti,Ertiga
Maruti Alto,Ahmedabad,2009.0,35000.0,Petrol,Manual,First,White,5.0,4.0,1.5,19.7,kmpl,796.0,CC,46.3,bhp,Maruti,Alto
Hyundai Grand,Coimbatore,2016.0,29091.0,Petrol,Manual,First,Others,5.0,4.0,4.87,18.9,kmpl,1197.0,CC,81.86,bhp,Hyundai,Grand
Renault Duster,Kochi,2015.0,82603.0,Petrol,Manual,First,Others,5.0,4.0,4.9,13.06,kmpl,1598.0,CC,102.53,bhp,Renault,Duster
Volkswagen Jetta,Coimbatore,2016.0,44340.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,13.83,16.96,kmpl,1968.0,CC,138.03,bhp,Volkswagen,Jetta
Maruti Alto,Bangalore,2011.0,64357.0,Petrol,Manual,First,Others,5.0,4.0,2.75,24.07,kmpl,998.0,CC,67.1,bhp,Maruti,Alto
Honda Jazz,Kolkata,2015.0,45000.0,Petrol,Manual,First,White,5.0,4.0,4.75,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
Maruti Ciaz,Coimbatore,2016.0,41810.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.11,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
Hyundai i10,Ahmedabad,2014.0,47003.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.67,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Audi A6,Coimbatore,2009.0,48040.0,Diesel,Automatic,Second,Black/Silver,5.0,4.0,12.07,16.77,kmpl,2967.0,CC,241.38,bhp,Audi,A6
Honda Jazz,Kochi,2017.0,24700.0,Petrol,Manual,First,Black/Silver,5.0,4.0,7.07,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
Volkswagen Polo,Hyderabad,2012.0,63000.0,Diesel,Manual,First,Others,5.0,4.0,4.2,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
Honda CR-V,Pune,2015.0,63050.0,Petrol,Automatic,First,White,5.0,4.0,17.5,11.1,kmpl,2354.0,CC,158.8,bhp,Honda,CR-V
Mahindra XUV500,Kolkata,2013.0,87284.0,Diesel,Manual,First,White,7.0,5.0,7.8,15.1,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
Mercedes-Benz New,Hyderabad,2012.0,86000.0,Diesel,Automatic,First,White,5.0,4.0,19.0,14.84,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,New
BMW 3,Kochi,2017.0,55389.0,Diesel,Automatic,First,Others,5.0,4.0,28.45,18.88,kmpl,1995.0,CC,184.0,bhp,BMW,3
Honda Civic,Mumbai,2008.0,87000.0,Petrol,Manual,First,White,5.0,4.0,2.35,13.5,kmpl,1799.0,CC,130.0,bhp,Honda,Civic
BMW X1,Hyderabad,2014.0,45000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,21.5,17.05,kmpl,1995.0,CC,184.0,bhp,BMW,X1
Hyundai Verna,Coimbatore,2013.0,66930.0,Petrol,Manual,First,Others,5.0,4.0,6.15,17.1,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
Hyundai i10,Pune,2009.0,62500.0,Petrol,Manual,First,White,5.0,4.0,2.1,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Honda Jazz,Hyderabad,2015.0,67000.0,Diesel,Manual,First,Others,5.0,4.0,6.9,27.3,kmpl,1498.0,CC,98.6,bhp,Honda,Jazz
Honda City,Coimbatore,2012.0,66245.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.68,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
Honda City,Mumbai,2010.0,69000.0,Petrol,Automatic,Second,White,5.0,4.0,2.85,16.8,kmpl,1497.0,CC,118.0,bhp,Honda,City
Skoda Superb,Kochi,2016.0,61648.0,Petrol,Automatic,First,Others,5.0,4.0,14.23,13.7,kmpl,1798.0,CC,157.75,bhp,Skoda,Superb
Maruti Ritz,Coimbatore,2011.0,90207.0,Diesel,Manual,First,White,5.0,4.0,3.91,21.1,kmpl,1248.0,CC,73.9,bhp,Maruti,Ritz
Mitsubishi Pajero,Mumbai,2004.0,129000.0,Diesel,Manual,First,White,6.0,5.0,3.45,10.5,kmpl,2835.0,CC,107.2,bhp,Mitsubishi,Pajero
Toyota Corolla,Kolkata,2014.0,27000.0,Petrol,Manual,First,White,5.0,4.0,7.95,14.28,kmpl,1798.0,CC,138.03,bhp,Toyota,Corolla
Hyundai Elantra,Pune,2013.0,48823.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,8.5,19.5,kmpl,1582.0,CC,126.24,bhp,Hyundai,Elantra
Audi Q7,Hyderabad,2011.0,98000.0,Diesel,Automatic,First,Others,7.0,5.0,22.0,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
Ford Figo,Bangalore,2010.0,78400.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,15.6,kmpl,1196.0,CC,70.0,bhp,Ford,Figo
Ford Figo,Hyderabad,2016.0,72566.0,Diesel,Manual,First,White,5.0,4.0,5.29,25.83,kmpl,1498.0,CC,99.0,bhp,Ford,Figo
Honda City,Delhi,2011.0,68000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.6,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
Hyundai EON,Pune,2015.0,55000.0,Petrol,Manual,First,Others,5.0,4.0,2.61,22.0,kmpl,814.0,CC,55.0,bhp,Hyundai,EON
Maruti Ertiga,Pune,2016.0,63000.0,Diesel,Manual,First,White,7.0,5.0,8.15,24.52,kmpl,1248.0,CC,88.5,bhp,Maruti,Ertiga
Nissan Teana,Mumbai,2015.0,74000.0,Petrol,Automatic,Second,Others,5.0,4.0,8.25,11.07,kmpl,2496.0,CC,179.5,bhp,Nissan,Teana
Honda Amaze,Jaipur,2018.0,6000.0,Petrol,Manual,First,White,5.0,4.0,6.7,19.5,kmpl,1199.0,CC,86.76,bhp,Honda,Amaze
Maruti SX4,Pune,2008.0,85000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.5,16.51,kmpl,1586.0,CC,103.2,bhp,Maruti,SX4
Volkswagen Jetta,Kolkata,2012.0,67000.0,Diesel,Manual,First,White,5.0,4.0,5.0,19.33,kmpl,1968.0,CC,138.1,bhp,Volkswagen,Jetta
Maruti Swift,Jaipur,2016.0,41460.0,Diesel,Manual,First,White,5.0,4.0,5.9,25.2,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Mercedes-Benz CLA,Coimbatore,2017.0,13689.0,Diesel,Automatic,First,Others,5.0,4.0,28.25,17.9,kmpl,2143.0,CC,136.0,bhp,Mercedes-Benz,CLA
Land Rover Range,Delhi,2015.0,37000.0,Diesel,Automatic,First,White,5.0,4.0,36.0,12.7,kmpl,2179.0,CC,187.7,bhp,Land rover, Range rover
Volkswagen Polo,Kolkata,2012.0,45000.0,Diesel,Manual,First,White,5.0,4.0,2.99,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
Audi Q3,Coimbatore,2016.0,58661.0,Diesel,Automatic,First,Others,5.0,4.0,28.03,15.17,kmpl,1968.0,CC,181.0,bhp,Audi,Q3
Ford Fiesta,Bangalore,2011.0,47000.0,Diesel,Manual,Second,Black/Silver,5.0,4.0,6.0,23.5,kmpl,1498.0,CC,90.0,bhp,Ford,Fiesta
Tata Indica,Hyderabad,2011.0,96000.0,Diesel,Manual,Second,White,5.0,4.0,0.91,17.88,kmpl,1396.0,CC,52.8,bhp,Tata,Indica
BMW 5,Pune,2008.0,112500.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,7.99,11.5,kmpl,2993.0,CC,235.0,bhp,BMW,5
Ford Ecosport,Coimbatore,2019.0,23154.0,Diesel,Manual,First,Black/Silver,5.0,4.0,11.65,23.0,kmpl,1498.0,CC,98.96,bhp,Ford,Ecosport
Maruti Ciaz,Kochi,2018.0,41283.0,Petrol,Manual,First,Others,5.0,4.0,9.9,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
Audi Q7,Coimbatore,2012.0,91743.0,Diesel,Automatic,First,Black/Silver,7.0,5.0,28.55,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
Volvo S80,Hyderabad,2008.0,79000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,10.99,13.1,kmpl,2400.0,CC,215.0,bhp,Volvo,S80
Hyundai EON,Hyderabad,2013.0,84600.0,Petrol,Manual,Second,White,5.0,4.0,2.5,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
Land Rover Range,Coimbatore,2017.0,49275.0,Diesel,Automatic,First,Others,5.0,4.0,45.64,12.7,kmpl,2179.0,CC,187.7,bhp,Land rover, Range rover
Ford Figo,Chennai,2010.0,107389.0,Diesel,Manual,Second,White,5.0,4.0,1.9,20.0,kmpl,1399.0,CC,68.0,bhp,Ford,Figo
Tata Indica,Chennai,2016.0,178000.0,Diesel,Manual,First,Others,5.0,4.0,2.5,25.0,kmpl,1396.0,CC,69.0,bhp,Tata,Indica
Maruti Wagon,Kolkata,2015.0,14000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.8,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Maruti Swift,Coimbatore,2019.0,41075.0,Diesel,Manual,First,Black/Silver,5.0,4.0,8.4,28.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Land Rover Range,Coimbatore,2013.0,75995.0,Diesel,Automatic,Second,White,5.0,4.0,65.81,11.49,kmpl,4367.0,CC,335.3,bhp,Land rover, Range rover
Hyundai i10,Kochi,2014.0,58472.0,Petrol,Manual,First,Others,5.0,4.0,3.41,19.81,kmpl,1086.0,CC,68.05,bhp,Hyundai,i10
Toyota Innova,Coimbatore,2017.0,65367.0,Diesel,Automatic,First,Black/Silver,7.0,4.0,20.14,11.36,kmpl,2755.0,CC,171.5,bhp,Toyota,Innova
Skoda Fabia,Jaipur,2009.0,87459.0,Petrol,Manual,First,Others,5.0,4.0,2.75,14.7,kmpl,1390.0,CC,85.0,bhp,Skoda,Fabia
Volkswagen Vento,Kochi,2016.0,50867.0,Diesel,Manual,First,Black/Silver,5.0,4.0,7.95,20.34,kmpl,1498.0,CC,103.2,bhp,Volkswagen,Vento
Volkswagen Polo,Hyderabad,2013.0,74000.0,Diesel,Manual,First,Others,5.0,4.0,4.85,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
Maruti Wagon,Delhi,2011.0,68000.0,Petrol,Manual,First,White,5.0,4.0,2.5,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Honda City,Pune,2014.0,58407.0,Petrol,Manual,First,Others,5.0,4.0,6.16,17.4,kmpl,1497.0,CC,117.3,bhp,Honda,City
Audi A4,Ahmedabad,2011.0,59000.0,Diesel,Automatic,First,Others,5.0,4.0,12.5,16.55,kmpl,1968.0,CC,140.0,bhp,Audi,A4
Maruti Swift,Coimbatore,2017.0,46849.0,Petrol,Automatic,First,White,5.0,4.0,6.93,18.5,kmpl,1197.0,CC,83.14,bhp,Maruti,Swift
Mercedes-Benz E-Class,Coimbatore,2018.0,41467.0,Diesel,Automatic,First,Others,5.0,4.0,37.98,15.0,kmpl,2143.0,CC,204.0,bhp,Mercedes-Benz,E-Class
Maruti Ciaz,Hyderabad,2017.0,15234.0,Petrol,Automatic,First,White,5.0,4.0,9.95,19.12,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
Mahindra Scorpio,Bangalore,2015.0,35000.0,Diesel,Manual,Second,Others,7.0,5.0,8.5,15.4,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
Honda Brio,Mumbai,2017.0,20000.0,Petrol,Automatic,First,White,5.0,4.0,5.99,16.5,kmpl,1198.0,CC,86.8,bhp,Honda,Brio
Honda Amaze,Pune,2015.0,79000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.0,18.0,kmpl,1198.0,CC,86.7,bhp,Honda,Amaze
Honda Jazz,Coimbatore,2017.0,49575.0,Petrol,Manual,First,White,5.0,4.0,7.17,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
Land Rover Discovery,Mumbai,2017.0,35000.0,Diesel,Automatic,First,White,7.0,5.0,41.6,18.0,kmpl,2993.0,CC,255.0,bhp,Land rover, Discovery
Ford Ikon,Jaipur,2010.0,82000.0,Diesel,Manual,Second,White,5.0,4.0,1.0,13.8,kmpl,1399.0,CC,68.0,bhp,Ford,Ikon
Ford Figo,Mumbai,2010.0,69009.0,Petrol,Manual,Second,Others,5.0,4.0,2.4,15.6,kmpl,1196.0,CC,70.0,bhp,Ford,Figo
Audi A6,Kolkata,2010.0,35010.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,11.5,12.4,kmpl,2698.0,CC,179.5,bhp,Audi,A6
Toyota Innova,Delhi,2012.0,62000.0,Diesel,Manual,First,White,7.0,4.0,7.75,12.99,kmpl,2494.0,CC,100.0,bhp,Toyota,Innova
Toyota Corolla,Chennai,2009.0,32000.0,Petrol,Manual,Second,Others,5.0,4.0,4.95,14.28,kmpl,1798.0,CC,138.03,bhp,Toyota,Corolla
Maruti Swift,Kochi,2015.0,35082.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.61,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Maruti Wagon,Delhi,2009.0,60000.0,Petrol,Manual,First,Others,5.0,4.0,1.35,18.9,kmpl,1061.0,CC,67.0,bhp,Maruti,Wagon
Hyundai Santa,Coimbatore,2013.0,65278.0,Diesel,Manual,First,Others,7.0,5.0,8.36,14.66,kmpl,2199.0,CC,194.3,bhp,Hyundai,Santa
Maruti SX4,Jaipur,2016.0,70000.0,Diesel,Manual,First,White,5.0,4.0,8.85,23.65,kmpl,1248.0,CC,88.5,bhp,Maruti,SX4
Maruti Alto,Bangalore,2014.0,73000.0,Petrol,Manual,Second,Others,5.0,4.0,2.75,24.7,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
Mahindra Bolero,Hyderabad,2017.0,40279.0,Diesel,Manual,First,Others,7.0,5.0,8.0,16.5,kmpl,1493.0,CC,70.0,bhp,Mahindra,Bolero
Hyundai i10,Ahmedabad,2014.0,51000.0,Petrol,Manual,First,White,5.0,4.0,3.75,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
Maruti Baleno,Kochi,2018.0,42243.0,Diesel,Manual,First,White,5.0,4.0,7.48,27.39,kmpl,1248.0,CC,74.0,bhp,Maruti,Baleno
Volkswagen Vento,Kolkata,2015.0,39000.0,Petrol,Manual,First,White,5.0,4.0,3.99,15.04,kmpl,1598.0,CC,103.2,bhp,Volkswagen,Vento
Maruti Ritz,Kolkata,2011.0,150000.0,Petrol,Manual,First,Others,5.0,4.0,2.5,18.5,kmpl,1197.0,CC,85.8,bhp,Maruti,Ritz
Maruti Swift,Kolkata,2016.0,100000.0,Diesel,Manual,First,Others,5.0,4.0,3.5,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Maruti Dzire,Pune,2012.0,150000.0,Diesel,Manual,Third,White,5.0,4.0,2.25,28.4,kmpl,1248.0,CC,73.75,bhp,Maruti,Dzire
Renault KWID,Kolkata,2017.0,25000.0,Petrol,Manual,First,Others,5.0,4.0,2.99,25.17,kmpl,799.0,CC,53.3,bhp,Renault,KWID
Maruti Wagon,Hyderabad,2015.0,45295.0,Petrol,Manual,First,Black/Silver,5.0,4.0,4.3,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
Volkswagen Vento,Jaipur,2016.0,33000.0,Petrol,Manual,First,White,5.0,4.0,7.7,16.09,kmpl,1598.0,CC,103.5,bhp,Volkswagen,Vento
Maruti Swift,Hyderabad,2016.0,52000.0,Diesel,Manual,First,Others,5.0,4.0,5.95,28.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
Maruti Celerio,Delhi,2014.0,21701.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.38,23.1,kmpl,998.0,CC,67.04,bhp,Maruti,Celerio
Hyundai i20,Coimbatore,2012.0,38214.0,Petrol,Manual,Second,White,5.0,4.0,4.05,18.5,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
Maruti Ertiga,Hyderabad,2015.0,59245.0,Diesel,Manual,First,Others,7.0,5.0,8.5,20.77,kmpl,1248.0,CC,88.8,bhp,Maruti,Ertiga
Chevrolet Optra,Jaipur,2007.0,118500.0,Petrol,Manual,First,White,5.0,4.0,1.25,12.9,kmpl,1598.0,CC,102.5,bhp,Chevrolet,Optra
Honda City,Coimbatore,2018.0,20300.0,Petrol,Automatic,First,White,5.0,4.0,14.21,18.0,kmpl,1497.0,CC,117.3,bhp,Honda,City
Mercedes-Benz GLC,Bangalore,2016.0,44414.0,Diesel,Automatic,First,White,5.0,4.0,42.5,17.9,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,GLC
Chevrolet Beat,Chennai,2012.0,81000.0,Diesel,Manual,First,White,5.0,4.0,2.5,25.44,kmpl,936.0,CC,56.3,bhp,Chevrolet,Beat
Honda City,Kolkata,2014.0,37298.0,Diesel,Manual,First,Black/Silver,5.0,4.0,4.9,25.1,kmpl,1498.0,CC,98.6,bhp,Honda,City
Toyota Corolla,Delhi,2015.0,12000.0,Petrol,Manual,First,Others,5.0,4.0,11.0,14.53,kmpl,1798.0,CC,138.0,bhp,Toyota,Corolla
Hyundai i20,Jaipur,2016.0,30292.0,Petrol,Manual,First,Black/Silver,5.0,4.0,6.3,18.6,kmpl,1197.0,CC,81.83,bhp,Hyundai,i20
